Titulo;Imagem;Link;Status Lote;Lance Atual;Visitas_lances
Leilão 24050 - 060 -  Casa Residencial - Braganca Paulista - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2401364/1687971967_I15809A.JPG?ims=430x323;/leilao/24050/lote/2401364/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 90 | Lances: 0
Leilão 24050 - 061 -  Apartamento Residencial - Cachoeirinha - RS ;https://photos.sodresantoro.com.br/imoveis/24050/2401964/1688061969_I15812A.JPG?ims=430x323;/leilao/24050/lote/2401964/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 72 | Lances: 0
Leilão 24050 - 062 -  Casa Residencial - Sao Roque - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2401966/1688061968_I15811A.JPG?ims=430x323;/leilao/24050/lote/2401966/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 110 | Lances: 0
Leilão 24050 - 063 -  Casa Residencial - Fernandopolis - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2402342/1688144777_I15825A.JPG?ims=430x323;/leilao/24050/lote/2402342/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 80 | Lances: 0
Leilão 24050 - 064 -  Casa Residencial - Presidente Prudente - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2402343/1688144775_I15824A.JPG?ims=430x323;/leilao/24050/lote/2402343/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 75 | Lances: 0
Leilão 24178 - 0001 -  TOYOTA COROLLA GLI FLEX 17/17 ;https://photos.sodresantoro.com.br/veiculos/24178/2402828/1683039732_C1414793A.JPG?ims=430x323;/leilao/24178/lote/2402828/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;;R$ 43.000;Visitas: 5936 | Lances: 69
Leilão 24178 - 0002 -  BLINDADO LAND ROVER VELAR P340 HSE RDYN 22/23 ;;/leilao/24178/lote/2402830/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;;;Visitas: 1173 | Lances: 0
Leilão 24178 - 0003 -  HONDA CITY LX FLEX 09/10 ;https://photos.sodresantoro.com.br/veiculos/24178/2402829/1684440388_C1418576A.JPG?ims=430x323;/leilao/24178/lote/2402829/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:31;R$ 22.400;Visitas: 2901 | Lances: 91
Leilão 24178 - 0004 -  FIAT PALIO ATTRACTIV 1.0 17/17 ;https://photos.sodresantoro.com.br/veiculos/24178/2402833/1684329773_C1418042A.JPG?ims=430x323;/leilao/24178/lote/2402833/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:32;R$ 26.000;Visitas: 1439 | Lances: 46
Leilão 24178 - 0005 -  FORD FIESTA FLEX 07/08 ;https://photos.sodresantoro.com.br/veiculos/24178/2402845/1685038971_C1419902A.JPG?ims=430x323;/leilao/24178/lote/2402845/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:33;R$ 8.400;Visitas: 1176 | Lances: 38
Leilão 24178 - 0006 -  FORD KA SE 1.0 SD C 19/19 ;https://photos.sodresantoro.com.br/veiculos/24178/2402846/1683558132_C1415999A.JPG?ims=430x323;/leilao/24178/lote/2402846/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:33;R$ 25.000;Visitas: 1086 | Lances: 40
Leilão 24178 - 0007 -  FIAT PALIO FIRE FLEX 07/08 ;https://photos.sodresantoro.com.br/veiculos/24178/2402847/1686834883_C1423874A.JPG?ims=430x323;/leilao/24178/lote/2402847/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:34;R$ 6.200;Visitas: 1828 | Lances: 26
Leilão 24178 - 0008 -  HYUNDAI HB20S 1.0M 13/14 ;https://photos.sodresantoro.com.br/veiculos/24178/2402848/1683118368_C1415009A.JPG?ims=430x323;/leilao/24178/lote/2402848/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:35;R$ 16.000;Visitas: 2030 | Lances: 24
Leilão 24178 - 0009 -  CITROEN C3 PTECH M ORIG 17/17 ;https://photos.sodresantoro.com.br/veiculos/24178/2402849/1685370436_C1420323A.JPG?ims=430x323;/leilao/24178/lote/2402849/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:36;R$ 20.000;Visitas: 1614 | Lances: 35
Leilão 24178 - 0010 -  CHEVROLET CLASSIC LS 12/12 ;https://photos.sodresantoro.com.br/veiculos/24178/2402850/1685973901_C1421695A.JPG?ims=430x323;/leilao/24178/lote/2402850/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4863/;05/07 - 09:36;R$ 8.500;Visitas: 732 | Lances: 17
